"Stanza","Line","Line Text","Parse Rank","Parse Text","Parse Meter","Parse Stress","Length (#sylls)","Ambiguity (#parses)","Tension (#viols)","*w stress","*s unstress","*unres within","*foot size","*unres across","*w peak","*s trough","*pentameter","*iambic"
"1","2","now as i lay me down to sleep","8","now AS.I lay ME down TO sleep","-++-+-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","9","now.as I lay.me DOWN to SLEEP","--+--+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","10","now.as I lay ME down.to SLEEP","--+-+--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","11","now.as I lay ME down TO.SLEEP","--+-+-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","12","now.as I lay ME.DOWN to SLEEP","--+-++-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","13","now.as I.LAY me DOWN to SLEEP","--++-+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","14","now AS i.lay ME down.to SLEEP","-+--+--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","15","now AS i.lay ME down TO.SLEEP","-+--+-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","16","now AS i.lay ME.DOWN to SLEEP","-+--++-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","17","now AS i LAY me.down TO.SLEEP","-+-+--++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","18","now AS i LAY.ME down.to SLEEP","-+-++--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","19","now AS i LAY.ME down TO.SLEEP","-+-++-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","20","now AS.I lay.me DOWN to SLEEP","-++--+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","21","now AS.I lay ME down.to SLEEP","-++-+--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","22","now AS.I lay ME down TO.SLEEP","-++-+-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","23","now AS.I lay ME.DOWN to SLEEP","-++-++-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","24","now.as I lay.me DOWN to.sleep","--+--+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","25","now.as I lay.me DOWN.TO sleep","--+--++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","26","now.as I lay ME.DOWN to.sleep","--+-++--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","27","now.as I.LAY me.down TO sleep","--++--+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","28","now.as I.LAY me DOWN to.sleep","--++-+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","29","now.as I.LAY me DOWN.TO sleep","--++-++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","30","now AS i.lay ME.DOWN to.sleep","-+--++--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","31","now AS.I lay.me DOWN to.sleep","-++--+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","32","now AS.I lay.me DOWN.TO sleep","-++--++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","33","now AS.I lay ME.DOWN to.sleep","-++-++--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","34","now.as I.LAY me.down TO.SLEEP","--++--++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","35","NOW as I lay ME down TO sleep","+-+-+-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","36","NOW as.i LAY me DOWN to SLEEP","+--+-+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","37","NOW as I lay.me DOWN to SLEEP","+-+--+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","38","NOW as I lay ME down.to SLEEP","+-+-+--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","39","NOW as I lay ME down TO.SLEEP","+-+-+-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","40","NOW as I lay ME.DOWN to SLEEP","+-+-++-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","41","NOW as I.LAY me DOWN to SLEEP","+-++-+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","42","NOW.AS i LAY me DOWN to SLEEP","++-+-+-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","43","NOW as.i LAY me.down TO sleep","+--+--+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","44","NOW as.i LAY me DOWN to.sleep","+--+-+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","45","NOW as.i LAY me DOWN.TO sleep","+--+-++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","46","NOW as.i LAY.ME down TO sleep","+--++-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","47","NOW as I lay.me DOWN to.sleep","+-+--+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","48","NOW as I lay.me DOWN.TO sleep","+-+--++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","49","NOW as I lay ME.DOWN to.sleep","+-+-++--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","50","NOW as I.LAY me.down TO sleep","+-++--+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","51","NOW as I.LAY me DOWN to.sleep","+-++-+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","52","NOW as I.LAY me DOWN.TO sleep","+-++-++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","53","NOW.AS i.lay ME down TO sleep","++--+-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","54","NOW.AS i LAY me.down TO sleep","++-+--+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","55","NOW.AS i LAY me DOWN to.sleep","++-+-+--","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","56","NOW.AS i LAY me DOWN.TO sleep","++-+-++-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","57","NOW.AS i LAY.ME down TO sleep","++-++-+-","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","58","NOW as.i LAY me.down TO.SLEEP","+--+--++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","59","NOW as.i LAY.ME down.to SLEEP","+--++--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","60","NOW as.i LAY.ME down TO.SLEEP","+--++-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","61","NOW as I.LAY me.down TO.SLEEP","+-++--++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","62","NOW.AS i.lay ME down.to SLEEP","++--+--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","63","NOW.AS i.lay ME down TO.SLEEP","++--+-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","64","NOW.AS i.lay ME.DOWN to SLEEP","++--++-+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","65","NOW.AS i LAY me.down TO.SLEEP","++-+--++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","66","NOW.AS i LAY.ME down.to SLEEP","++-++--+","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","67","NOW.AS i LAY.ME down TO.SLEEP","++-++-++","+--+---+","8","68","","","","","","","","","",""
"1","2","now as i lay me down to sleep","68","NOW.AS i.lay ME.DOWN to.sleep","++--++--","+--+---+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","1","one WISH in SIDE my HEART to KEEP","-+-+-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","3","one.wish IN side MY heart TO keep","--+-+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","4","one WISH in.side MY heart TO keep","-+--+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","5","one WISH in SIDE my.heart TO keep","-+-+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","6","one WISH in SIDE my HEART to.keep","-+-+-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","7","one WISH in SIDE my HEART.TO keep","-+-+-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","8","one WISH in SIDE.MY heart TO keep","-+-++-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","9","one WISH.IN side MY heart TO keep","-++-+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","17","one.wish IN side.my HEART to KEEP","--+--+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","18","one.wish IN side MY heart.to KEEP","--+-+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","19","one.wish IN side MY heart TO.KEEP","--+-+-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","20","one.wish IN side MY.HEART to KEEP","--+-++-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","21","one.wish IN.SIDE my HEART to KEEP","--++-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","22","one WISH in.side MY heart.to KEEP","-+--+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","23","one WISH in.side MY heart TO.KEEP","-+--+-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","24","one WISH in.side MY.HEART to KEEP","-+--++-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","25","one WISH in SIDE my.heart TO.KEEP","-+-+--++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","26","one WISH in SIDE.MY heart.to KEEP","-+-++--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","27","one WISH in SIDE.MY heart TO.KEEP","-+-++-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","28","one WISH.IN side.my HEART to KEEP","-++--+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","29","one WISH.IN side MY heart.to KEEP","-++-+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","30","one WISH.IN side MY heart TO.KEEP","-++-+-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","31","one WISH.IN side MY.HEART to KEEP","-++-++-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","47","one.wish IN side.my HEART to.keep","--+--+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","48","one.wish IN side.my HEART.TO keep","--+--++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","49","one.wish IN side MY.HEART to.keep","--+-++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","50","one.wish IN.SIDE my.heart TO keep","--++--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","51","one.wish IN.SIDE my HEART to.keep","--++-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","52","one.wish IN.SIDE my HEART.TO keep","--++-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","53","one WISH in.side MY.HEART to.keep","-+--++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","54","one WISH.IN side.my HEART to.keep","-++--+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","55","one WISH.IN side.my HEART.TO keep","-++--++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","56","one WISH.IN side MY.HEART to.keep","-++-++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","67","one.wish IN.SIDE my.heart TO.KEEP","--++--++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","69","ONE wish IN side MY heart TO keep","+-+-+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","71","ONE wish.in SIDE my HEART to KEEP","+--+-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","72","ONE wish IN side.my HEART to KEEP","+-+--+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","73","ONE wish IN side MY heart.to KEEP","+-+-+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","74","ONE wish IN side MY heart TO.KEEP","+-+-+-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","75","ONE wish IN side MY.HEART to KEEP","+-+-++-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","76","ONE wish IN.SIDE my HEART to KEEP","+-++-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","77","ONE.WISH in SIDE my HEART to KEEP","++-+-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","85","ONE wish.in SIDE my.heart TO keep","+--+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","86","ONE wish.in SIDE my HEART to.keep","+--+-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","87","ONE wish.in SIDE my HEART.TO keep","+--+-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","88","ONE wish.in SIDE.MY heart TO keep","+--++-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","89","ONE wish IN side.my HEART to.keep","+-+--+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","90","ONE wish IN side.my HEART.TO keep","+-+--++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","91","ONE wish IN side MY.HEART to.keep","+-+-++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","92","ONE wish IN.SIDE my.heart TO keep","+-++--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","93","ONE wish IN.SIDE my HEART to.keep","+-++-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","94","ONE wish IN.SIDE my HEART.TO keep","+-++-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","95","ONE.WISH in.side MY heart TO keep","++--+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","96","ONE.WISH in SIDE my.heart TO keep","++-+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","3","one wish inside my heart to keep -","97","ONE.WISH in SIDE my HEART to.keep","++-+-+--","-+-+-+-+","8","68","","","","","","","","","",""
