Poem ID,Title,Text,Speaker
L31,"Laika, the Good Girl","They sent you up on that ship as a trial in the heavens.
They called you Laika (which means to bark) yet
They say you were just a stray dog.
They admit always a nice dog
They admit always a good dog.
They say you were just three years yet
They called you a sacrifice to science when
They sent you up on that ship as your trail to dog heaven.

We call you a patron saint,
We say you guide those like you:
We who find ourselves on one way journeys.
We say our thanks for your guidance,
We call you Laika, the hero.

You were Laika, the space dog.
You are:

Laika, the good girl",Second-Person
L32,For Laika,"what did it feel like? suspended over the warm hug of gravity
wishing on a star to come home once again
from up there did the sun look like a bright glowing ball?
I’d throw it for you, Laika
cup it in the palm of my hand and let you chase it across the cosmos
did you try to bark and hear it come back empty?
they named you for the sound you made then left you in a vacuum
sent you up there before people to see how you fared
as if your life was worth any less
but what human could hold the whole of the earth in their heart?
for you it was the size of a marble
after all, what is perspective to a dog
only 3 years old",Second-Person
L33,,"Laika's still up there. not her body, sure, but her soul is. i saw it through my telescope one night when i was looking for aliens. she was sniffing for table scraps under saturn's ring. she chases comets and bites down on satellites. i saw her napping by neptune, she was kicking her feet. passing through the oort cloud is like the stroke of a hand on her fur. eyes like marbles and four little paws like flames. she bobs through jupiter's moons like cold moscow streets. up there the stars are a great big field. and look, she's running so fast. god damn, look at her go.",Third-Person
L34,,"“Barker” In the vacuum you lie Unable to move, without anyone to love you. I’m sorry. When all you wanted was a family, they Rewarded you with death Fetch that blue ball for us, old friend Know that love is here for you everywhere Now. When you were a hero, they called you “Just a stray”",Second-Person
L35,Laika,"I want to know what it means
that the first living thing we sent to space
we had no plan to retrieve
someone found her
on the streets
tired and alone
and brought her to shelter
to food
and maybe someone loved her
they say she died
– and the story changes –
that she asphyxiated
or it was exposure
that it was many days
or only one
either way
from the very beginning
they had no way to get her back
the craft burned up on reentry
50 years later we built a monument to her
I want to know what it means
that we would do something like this
I want to know if it is something human
or something not
something made in the fall
or from the sand
and I want to know what it means
that one of us broke protocol before the launch
and fed her a meal
and that one of us
took her home for one night
to make her feel loved
before her final trip",Third-Person
L36,,"Laika's still up there, not her body, sure, but her soul is. i saw it through my telescope one night when i was looking for aliens. she was sniffing for table scraps under saturn's ring. she chases comets and bites down on satellites. i saw her napping by neptune, she was kicking her feet, passing through the oort cloud is like the stroke of a hand on her fur. eyes like marbles and four little paws like flames. she bobs through jupiter's moons like cold moscow streets. up there the stars are a great big field. and look, she's running so fast. god damn, look at her go.",Third-Person
L37,Space Dog,"I am mourning the space dog Laika.
Her happy face was painted in a book I lost.
And she is lost. Her body frozen, floating, forgotten.
They say that nothing, nothing rots in outer space.
She could still be out there now,
circling the stars.

As a child I learned two songs about the stars—
“Twinkle, Twinkle,” “When You Wish…” (a home for little Laika)
At night, this rhyme I recite even now,
“Starlight, star bright…” Just in case. Nothing lost.
And so our wishes hang in outer space
with the tales grown children might already have forgotten.

Orion. The one constellation I have not forgotten
for nothing is plainer than his belt’s trinity of stars.
Beloved of Diana. Rival of Apollo. Hunter set in space.
Could you have seen the trail of space dog Laika?
Sirius could chase the satellite we lost.
Faithful Canis Major follows you ’til now.

Do children still know these stories now?
Or have the maidens, giant beasts, and heroes been forgotten?
What takes their place when myths are lost?
Perhaps, instead, our children know the secret name of stars—
distant suns. Around one revolves our space dog Laika.
A generation after might still find her spinning quietly in space.

What else did we send to die in outer space?
White mice, cats, apes. (I hear even tycoons and boybands now.)
Did they have names, these pioneers, a real name like Laika?

If they did, children’s books allowed them all to be forgotten.
But not their tombs.                 They reached the stars,
sacrifices launched for the footprint on the moon. What was lost?

This is the title of the book I lost—
A Little Golden Book. “Explorations in Outer Space.”
Men had only then begun to leave the earth, straying nowhere closer to the stars.
The universe, its vastness, cannot be measured even now.
Someday, if what we learn is weighed against what we have forgotten,
will it matter that the airless void was too cold for space dog Laika?

Sputnik space dog never came home, but Laika’s
lost satellite will never be forgotten. And now the city glare
seeks to stop the night.

                                         Yet it only hides the stars.",First-Person
L38,Good girl,"for Benjamin Dodds

“The more time passes,
the more I’m sorry about it.”
                                     —Oleg Garenko, Sputnik-2 scientist
Lean and fast
on all fours,
your years of freezing
Moscow street smarts
couldn’t save you
from the sweeping nets
of those KGB goons. Still,
it must have seemed great,
three square meals,
two sisters for company,
and all that attention
from nice men in white,
until, each day, your cage
grew steadily smaller,
those dark noisy rides
went faster and faster,
and your food turned to paste
from nondescript tubes,
when at last
they shipped you out
to the Baikonur steppes,
your body wired up
in your own special room,
where they oiled your fur
then kissed your nose
and closed the door
                                                which
is when we burst in! Time
travelling fantasists from
the eventual future, armed
to the teeth with the
latest gear and a
shaky plan. Sneaking in
after nightfall, when the guards
are too drunk
and the scientists aren’t
party members so they
wont stop us. I keep watch
while Ben cuts you free
and we make it downstairs
until Ben takes a round
in the back, poor bastard,
from the cowardly
base commander that
I easily despatch with
twenty-first century whispers
and make for gates
when at last Kalashnikovs
light up the night
and the fresh heavy snow
breaks my fall, turning
pink all around me. Good
girl I murmur good girl
as you tear toward
the tree line and they
call out after you
Kudryavka
                   Zhuchka
                                   Limonchik
all the names that
would never stick,
while Soviet 7.62
cracks Kahzak wood
and I watch you disappear
into the safety of
dark forest, feeling it’s just
about worth it, to know you’re free
to run through tall grass,
even if the world
will never know your true name.",Second-Person
L39,"“I’ll be looking at the moon, but I’ll be seeing you”","Tonight the moon reflects upon the ocean’s surface
A submarine lurks beneath
Whispers of war – on the airwaves
A torpedo almost launched
As nations race to reach her face

Tonight the moon peaks from the clouds
American engineers are making an anti-gravity pen
The Russians smirked and used pencils
Sometimes we need not invent new things
If they already prove their function

Tonight the moon is full and bright
But I do not see you
Instead I see Laika chasing her ball
She is wagging her tail as she brings it back
To her human child

Tonight is a new moon
But I do not see you
Instead I see the first footprints of man
Scattered on her face
Apollo 11 - a giant leap for mankind

Tonight the moon is a crescent and Mars appears beside it
But I do not see you
I see Curiosity measuring the sands
Singing a birthday tune to herself
Nobody taught her the words
And yet...and yet there was music in space

Tonight the moon is high
A comet crashes into space debris
Isn’t it pretty when it burns?
Each time we advance
I ask “at what cost?”
And “was it worth it?”
Even the stars cannot answer
Tonight I look to the moon",First-Person
L40,radio,"[sputnik]: noun, meaning “traveller”

earth to sputnik 2
laika,
  are  you  in there
(or out, i suppose
  somewhere you weigh
  and look, and feel  like dust

[ think, for a second
    that you are not  as small as
  you are; would that change things
    would it make the gravity of space
    lighter or heavier ]

if you could talk    would you
  have whined into the frequencies of
  this radio and asked — but why am i
here?

this is earth to sputnik 2(023)

would you have growled across the
distance of stars       so large not even a
  million of you could bound for “fetch”

or at least, laika
  tell me   please please please
  that you would have barked when the
          insulation went off",Second-Person
